job_id;job_title_short;job_location_city;job_via;job_schedule_type;job_work_from_home;job_posted_month;job_no_degree_mention
475776;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;August;TRUE
1114049;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;March;TRUE
226406;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;May;TRUE
799265;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;July;TRUE
1369690;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;April;TRUE
101393;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;May;TRUE
72538;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;June;TRUE
156969;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;April;TRUE
511837;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;February;TRUE
1031705;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;June;TRUE
1387350;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;February;TRUE
467099;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;April;TRUE
1207954;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;April;TRUE
72303;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;March;TRUE
1491177;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;April;TRUE
553399;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;August;TRUE
596546;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;April;TRUE
898840;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;August;TRUE
901777;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;April;TRUE
1171548;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;April;TRUE
1323364;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;August;TRUE
624887;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;May;TRUE
1225587;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;May;TRUE
1403757;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;May;TRUE
298573;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;March;TRUE
68526;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;August;TRUE
518181;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;April;TRUE
38233;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;April;TRUE
108238;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;April;TRUE
402541;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;April;TRUE
503740;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;August;TRUE
912447;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;July;TRUE
1488598;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;April;TRUE
117297;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;December;TRUE
179806;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;April;TRUE
282650;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;April;TRUE
300303;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;April;TRUE
420519;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;March;TRUE
362236;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;September;TRUE
1311691;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;March;TRUE
555400;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;April;TRUE
886250;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;May;TRUE
941864;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;September;TRUE
377325;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;February;TRUE
1588276;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;September;TRUE
97675;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;May;TRUE
50140;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;March;TRUE
404112;Data Engineer;Johannesburg;BeBee;Full-time;FALSE;February;TRUE
